name,birthday,nationality
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Leonardo DiCaprio,1974-11-11,USA
Jennifer Lawrence,1990-08-15,USA
Denzel Washington,1954-12-28,USA
Cate Blanchett,1969-05-14,AUS
Hugh Jackman,1968-10-12,AUS
Nicole Kidman,1967-06-20,AUS
Russell Crowe,1964-04-07,NZL
Daniel Day-Lewis,1957-04-29,GBR
Emma Watson,1990-04-15,GBR
Idris Elba,1972-09-06,GBR
Helen Mirren,1945-07-26,GBR
Benedict Cumberbatch,1976-07-19,GBR
Anthony Hopkins,1937-12-31,GBR
Keanu Reeves,1964-09-02,CAN
Ryan Gosling,1980-11-12,CAN
Rachel McAdams,1978-11-17,CAN
Sandra Oh,1971-07-20,CAN
Jim Carrey,1962-01-17,CAN
Penélope Cruz,1974-04-28,ESP
Antonio Banderas,1960-08-10,ESP
Javier Bardem,1969-03-01,ESP
Salma Hayek,1966-09-02,MEX
Gael García Bernal,1978-11-30,MEX
Diego Luna,1979-12-29,MEX
Wagner Moura,1976-06-27,BRA
Fernanda Montenegro,1929-10-16,BRA
Rodrigo Santoro,1975-08-22,BRA
Alice Braga,1983-04-15,BRA
Marion Cotillard,1975-09-30,FRA
Jean Reno,1948-07-30,FRA
Vincent Cassel,1966-11-23,FRA
Eva Green,1980-07-06,FRA
Juliette Binoche,1964-03-09,FRA
Amitabh Bachchan,1942-10-11,IND
Shah Rukh Khan,1965-11-02,IND
Aishwarya Rai,1973-11-01,IND
Priyanka Chopra,1982-07-18,IND
Irrfan Khan,1967-01-07,IND
Ken Watanabe,1959-10-21,JPN
Rinko Kikuchi,1981-01-06,JPN
Hiroyuki Sanada,1960-10-12,JPN
Zhang Ziyi,1979-02-09,CHN
Jet Li,1963-04-26,CHN
Donnie Yen,1963-07-27,CHN
Gong Li,1965-12-31,CHN
Chow Yun-fat,1955-05-18,CHN
Song Kang-ho,1967-01-17,KOR
Lee Byung-hun,1970-07-12,KOR
